FPR,TPR,Threshold
0.0,0.0,1.9662173830205243
0.0,0.010752688172043012,0.9662173830205243
0.0,0.043010752688172046,0.9201207773922967
0.020833333333333332,0.043010752688172046,0.9170983828281083
0.020833333333333332,0.0967741935483871,0.8987496973100085
0.041666666666666664,0.0967741935483871,0.89316004667801
0.041666666666666664,0.21505376344086022,0.8783137257404007
0.08333333333333333,0.21505376344086022,0.8754896293155012
0.08333333333333333,0.25806451612903225,0.8670601751786032
0.10416666666666667,0.25806451612903225,0.8583629190766812
0.10416666666666667,0.26881720430107525,0.8579619107891379
0.125,0.26881720430107525,0.8556289659525885
0.125,0.2903225806451613,0.852699440402489
0.14583333333333334,0.2903225806451613,0.8520347938716534
0.14583333333333334,0.3763440860215054,0.8291738326181143
0.16666666666666666,0.3763440860215054,0.8245704833100287
0.16666666666666666,0.41935483870967744,0.8154605621601183
0.1875,0.41935483870967744,0.8103039986519456
0.1875,0.43010752688172044,0.810278654563486
0.20833333333333334,0.43010752688172044,0.8100683014516517
0.20833333333333334,0.5053763440860215,0.7642206406097487
0.22916666666666666,0.5053763440860215,0.7628685730450689
0.22916666666666666,0.5591397849462365,0.7540185794756153
0.2708333333333333,0.5591397849462365,0.7487532041518927
0.2708333333333333,0.6129032258064516,0.7465681228738712
0.2916666666666667,0.6129032258064516,0.7449475485892437
0.2916666666666667,0.6451612903225806,0.7356384852178772
0.3125,0.6451612903225806,0.7356168268724113
0.3125,0.8064516129032258,0.7185253771700384
0.3333333333333333,0.8064516129032258,0.716234033077978
0.3333333333333333,0.8387096774193549,0.7109796319827661
0.3541666666666667,0.8387096774193549,0.7075722988664345
0.3541666666666667,0.8602150537634409,0.7044510414891734
0.3958333333333333,0.8602150537634409,0.699722610058383
0.3958333333333333,0.9247311827956989,0.6832190239375282
0.4375,0.9247311827956989,0.681564729279899
0.4375,0.956989247311828,0.6544076185166143
0.4791666666666667,0.956989247311828,0.630121138973823
0.4791666666666667,1.0,0.5279715688688151
1.0,1.0,0.0688625469251487
